Group Name,Member Count,Last Active,Group URL,post
Dog Lovers Family 💚,,Last active about a minute ago,https://www.facebook.com/groups/dogloversfamilyus/,"Hey Dog Lovers Family 💚, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Cesar Millan A csodálatos kutyadoki (Cesar Millan Dog Whispersmaravilloso s,,Last active 6 hours ago,https://www.facebook.com/groups/211743252540007/,"Hey Cesar Millan A csodálatos kutyadoki (Cesar Millan Dog Whispersmaravilloso s, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Funn with Animals,,Last active 14 minutes ago,https://www.facebook.com/groups/797783698561108/,"Hey 1h·From Streets to Stability: Travis & Loki’s Second Chance, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
God Bless My Family🏠,,Last active about a minute ago,https://www.facebook.com/groups/847082787417964/,"Hey God Bless My Family🏠, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Visit,362K,Last active 10 minutes ago,https://www.facebook.com/groups/lovejesusandmary/,"Hey Faith in Jesus Christ, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Animals Are Family,,Last active 39 minutes ago,https://www.facebook.com/groups/2448913402087711/,"Hey Animals Are Family, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
"Pets & Animals - Dog , Cat , Kitten , Puppy , Birds & Fish Lovers USA",,Last active 11 minutes ago,https://www.facebook.com/groups/1117179915902600/,"Hey Pets & Animals - Dog , Cat , Kitten , Puppy , Birds & Fish Lovers USA, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Animal lover's,,Last active 24 minutes ago,https://www.facebook.com/groups/263346826018108/,"Hey Animal lover's, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Animals Are Beautiful,,Last active about an hour ago,https://www.facebook.com/groups/761373434567292/,"Hey Animals Are Beautiful, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
‏‎Sinou3‎‏ - Animal stories,,Last active 5 hours ago,https://www.facebook.com/groups/784287992325128/,"Hey ‏‎Sinou3‎‏ - Animal stories, Trying to show real progress so donors know their help mattered. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
2 hours ago,,Last active 2 hours ago,https://www.facebook.com/groups/553746293879111/,"Hey Dog Lover, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
My Abusive Narcissistic Family,,Last active about an hour ago,https://www.facebook.com/groups/616813646057942/,"Hey My Abusive Narcissistic Family, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Boston Terrier Family,,Last active 45 minutes ago,https://www.facebook.com/groups/bostonterierfamily/,"Hey Boston Terrier Family, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
about an hour ago,,Last active about an hour ago,https://www.facebook.com/groups/598464213141649/,"Hey about an hour ago, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Old Age Family Ladies,,Last active 40 minutes ago,https://www.facebook.com/groups/3108812362584240/,"Hey Old Age Family Ladies, Loki’s safe, fed, and finally relaxing after everything we’ve been through. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Unique birds 🦅 and Animals 🦔,,Last active 37 minutes ago,https://www.facebook.com/groups/151819233656550/,"Hey Unique birds 🦅 and Animals 🦔, Sacramento’s been a mess with the shutdown, but me and Loki are holding on. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
National Geographic Animals,,Last active 16 minutes ago,https://www.facebook.com/groups/1155388562476628/,"Hey National Geographic Animals, I’m pushing my SSI appeal through the chaos and hoping it finally moves. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Visit,666K,Last active 6 minutes ago,https://www.facebook.com/groups/521371226333137/,"Hey Jesus Is Everything To Me, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
16 minutes ago,,Last active 16 minutes ago,https://www.facebook.com/groups/4355356404743171/,"Hey 16 minutes ago, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
about an hour ago,,Last active about an hour ago,https://www.facebook.com/groups/PetsFamily/,"Hey Pets Are Family, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Northern California Striped Bass Report,125K,,https://www.facebook.com/groups/1750339118591569/,"Hey Northern California Striped Bass Report, Sacramento’s been a mess with the shutdown, but me and Loki are holding on. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Northern California Striped Bass Report,125K,,https://www.facebook.com/groups/724158551629608/,"Hey Northern California Striped Bass Report, I’m pushing my SSI appeal through the chaos and hoping it finally moves. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Northern California Striped Bass Report,125K,,https://www.facebook.com/groups/432069930458718/,"Hey Northern California Striped Bass Report, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Northern California Striped Bass Report,125K,,https://www.facebook.com/groups/365785396939251/,"Hey Northern California Striped Bass Report, Sacramento’s been a mess with the shutdown, but me and Loki are holding on. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Northern California Striped Bass Report,125K,,https://www.facebook.com/groups/MushID/,"Hey Northern California Striped Bass Report, Trying to show real progress so donors know their help mattered. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Love My Dog,8.4K,,https://www.facebook.com/groups/1191942628102184/,"Hey Love My Dog, Loki’s safe, fed, and finally relaxing after everything we’ve been through. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Dog lovers in the USA,6.3K,,https://www.facebook.com/groups/dogloversintheusa/,"Hey Dog lovers in the USA, I’m pushing my SSI appeal through the chaos and hoping it finally moves. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
El Dorado Hills & Folsom Small Businesses,6.3K,,https://www.facebook.com/groups/206249470606633/,"Hey El Dorado Hills & Folsom Small Businesses, Trying to show real progress so donors know their help mattered. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
dog lovers world.....,357K,,https://www.facebook.com/groups/922098944910540/,"Hey Visit, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
ANIMAL LOVERS GROUP,4.3K,,https://www.facebook.com/groups/191836945822275/,"Hey ANIMAL LOVERS GROUP, General assistance kept Loki on grain‑free food, and I’m grateful. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
Nature and Wildlife TV,332K,,https://www.facebook.com/groups/natureandwildlife.tv/,"Hey Nature and Wildlife TV, I’m pushing my SSI appeal through the chaos and hoping it finally moves. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
We love dogs ☑️,5K,,https://www.facebook.com/groups/251371852815227/,"Hey We love dogs ☑️, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
We Love Animals ✅,44K,,https://www.facebook.com/groups/238021302041703/,"Hey C-PTSD; LIVING WITH ALL THERE IS, WAS AND WILL BE INVOLVED MOVING FORWARD, Sacramento neighbors — Loki (my German Shepherd) and I are holding steady thanks to the kindness of this community. The shutdown’s slowed my SSI appeal, but we’re managing with grain-free food and support from SHRA. Every share or small donation keeps us going. Read our story here: https://www.gofundme.com/f/restoring-hope-for-loki — Travis & Loki"
Animals Are BestFriends,42K,,https://www.facebook.com/groups/2237781396271588/,"Hey Animals Are BestFriends, I’m pushing my SSI appeal through the chaos and hoping it finally moves. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
El Dorado Hills,4.9K,,https://www.facebook.com/groups/376854554062337/,"Hey El Dorado Hills, Trying to show real progress so donors know their help mattered. If you want to help us keep going, our GoFundMe is here: https://www.gofundme.com/f/restoring-hope-for-loki"
